detector,descriptor,image_id,n_keypoint,n_match,t_detector,t_descriptor
AKAZE,ORB,5,164,131,39.596154,1.402218
AKAZE,ORB,6,173,132,39.538643,1.465661
AKAZE,ORB,7,175,142,41.598516,1.472372
AKAZE,ORB,8,177,146,42.008937,1.529170
AKAZE,ORB,9,179,144,37.373044,1.514905
SIFT,ORB,0,138,0,83.453782,1.193582
SIFT,ORB,1,132,64,79.221964,1.183699
SIFT,ORB,2,124,66,81.274382,1.127789
SIFT,ORB,3,137,62,79.695872,1.183503
SIFT,ORB,4,134,66,77.768715,1.171237
SIFT,ORB,5,140,59,77.644126,1.217437
SIFT,ORB,6,137,64,79.400198,1.197697
SIFT,ORB,7,148,64,78.735544,1.307754
SIFT,ORB,8,159,67,79.768842,1.448679
SIFT,ORB,9,137,80,80.952298,1.171985
HARRIS,FREAK,0,17,0,9.432729,25.015619
HARRIS,FREAK,1,14,13,10.141151,24.471467
HARRIS,FREAK,2,18,13,8.582977,24.401648
HARRIS,FREAK,3,21,15,8.515535,24.921039
HARRIS,FREAK,4,26,15,9.483358,25.420673
HARRIS,FREAK,5,43,17,17.631640,24.199562
HARRIS,FREAK,6,18,20,8.314024,25.030955
HARRIS,FREAK,7,31,14,9.753777,24.607901
HARRIS,FREAK,8,26,21,9.305883,24.317527
HARRIS,FREAK,9,34,18,11.947643,24.198949
FAST,FREAK,0,149,0,0.975990,25.504958
FAST,FREAK,1,152,97,0.965323,25.223041
FAST,FREAK,2,150,98,0.963051,24.716468
FAST,FREAK,3,155,94,0.961887,24.970167
FAST,FREAK,4,149,99,0.960420,25.360310
FAST,FREAK,5,149,88,0.953672,25.238479
FAST,FREAK,6,156,99,0.960001,24.927555
FAST,FREAK,7,150,104,0.952234,24.618192
FAST,FREAK,8,138,99,0.963816,25.077844
FAST,FREAK,9,143,103,0.965538,24.819603
BRISK,FREAK,0,264,0,31.443827,24.945938
BRISK,FREAK,1,282,160,31.726090,25.490039
BRISK,FREAK,2,282,178,31.384487,25.235895
BRISK,FREAK,3,277,156,31.074336,25.094249
BRISK,FREAK,4,297,173,31.645868,26.472735
BRISK,FREAK,5,279,161,32.814359,25.368813
BRISK,FREAK,6,289,183,31.660162,25.657695
BRISK,FREAK,7,272,169,30.841865,25.238157
BRISK,FREAK,8,267,179,31.908200,25.153944
BRISK,FREAK,9,254,167,30.903158,24.887081
ORB,FREAK,0,92,0,5.672859,26.089492
ORB,FREAK,1,102,42,5.510713,25.054114
ORB,FREAK,2,106,36,5.446683,24.609197
ORB,FREAK,3,113,45,5.500796,24.703131
ORB,FREAK,4,109,47,5.579096,24.330874
ORB,FREAK,5,125,44,5.646521,24.274579
ORB,FREAK,6,130,51,5.698355,24.772815
ORB,FREAK,7,129,52,5.592582,24.417975
ORB,FREAK,8,127,49,5.574439,24.389027
ORB,FREAK,9,128,55,5.684787,24.631002
AKAZE,FREAK,0,166,0,42.469304,25.756531
AKAZE,FREAK,1,157,126,42.041188,24.958207
AKAZE,FREAK,2,161,128,40.320125,25.283428
AKAZE,FREAK,3,155,128,41.226127,24.965128
AKAZE,FREAK,4,163,121,39.659783,25.522165
AKAZE,FREAK,5,164,123,40.181610,24.974650
AKAZE,FREAK,6,173,132,41.268947,24.961845
AKAZE,FREAK,7,175,145,39.975623,24.833774
AKAZE,FREAK,8,177,148,41.990273,24.723481
AKAZE,FREAK,9,179,137,40.689562,24.710506
SIFT,FREAK,0,138,0,83.485979,25.042438
SIFT,FREAK,1,132,64,77.657607,24.826144
SIFT,FREAK,2,124,72,80.351559,24.596769
SIFT,FREAK,3,137,65,79.004316,24.754092
SIFT,FREAK,4,134,66,79.749075,25.450109
SIFT,FREAK,5,140,63,80.746940,24.659322
SIFT,FREAK,6,137,58,77.854239,25.403794
SIFT,FREAK,7,148,64,79.101337,24.737387
SIFT,FREAK,8,159,65,79.772414,24.823399
SIFT,FREAK,9,137,79,78.626627,24.820213
AKAZE,AKAZE,0,166,0,42.009731,34.004895
AKAZE,AKAZE,1,157,138,40.126664,29.905400
AKAZE,AKAZE,2,161,138,41.152049,30.005519
AKAZE,AKAZE,3,155,133,42.045347,33.422305
AKAZE,AKAZE,4,163,127,40.949479,31.304526
AKAZE,AKAZE,5,164,129,40.031891,33.765421
AKAZE,AKAZE,6,173,146,39.529345,30.821083
AKAZE,AKAZE,7,175,147,41.086807,29.610902
AKAZE,AKAZE,8,177,151,41.422304,30.709032
AKAZE,AKAZE,9,179,150,41.572905,29.434444
HARRIS,SIFT,0,17,0,9.438748,9.683670
HARRIS,SIFT,1,14,14,9.100548,9.788220
HARRIS,SIFT,2,18,11,8.845127,9.635240
HARRIS,SIFT,3,21,16,8.534270,9.883351
HARRIS,SIFT,4,26,19,9.216849,9.827364
HARRIS,SIFT,5,43,22,17.348299,9.959102
HARRIS,SIFT,6,18,22,8.323975,9.728996
HARRIS,SIFT,7,31,13,10.021678,9.880508
HARRIS,SIFT,8,26,24,9.222074,9.831389
HARRIS,SIFT,9,34,22,11.987505,9.949111
FAST,SIFT,0,149,0,0.980389,12.560444
FAST,SIFT,1,152,118,0.974280,12.620398
FAST,SIFT,2,150,123,0.966726,11.674728
FAST,SIFT,3,155,110,0.975099,11.870854
FAST,SIFT,4,149,119,0.964857,11.827288
FAST,SIFT,5,149,114,0.954564,12.350414
FAST,SIFT,6,156,119,0.962867,11.875537
FAST,SIFT,7,150,123,0.951038,11.751795
FAST,SIFT,8,138,117,0.968977,11.404139
FAST,SIFT,9,143,103,0.972132,11.644766
BRISK,SIFT,0,264,0,31.439116,21.968638
BRISK,SIFT,1,282,182,31.628693,21.252485
BRISK,SIFT,2,282,193,31.545916,22.323936
BRISK,SIFT,3,277,170,31.730983,21.630156
BRISK,SIFT,4,297,183,32.225093,22.254791
BRISK,SIFT,5,279,172,31.031688,21.423547
BRISK,SIFT,6,289,195,31.176742,21.529691
BRISK,SIFT,7,272,194,33.257634,21.373990
BRISK,SIFT,8,267,176,31.300667,21.573332
BRISK,SIFT,9,254,183,30.853439,20.584383
ORB,SIFT,0,92,0,5.575916,23.001169
ORB,SIFT,1,102,67,5.964329,22.834040
ORB,SIFT,2,106,79,5.489438,23.969675
ORB,SIFT,3,113,78,5.451056,24.990315
ORB,SIFT,4,109,79,5.684476,23.198196
ORB,SIFT,5,125,82,5.534460,23.793370
ORB,SIFT,6,130,95,5.568643,25.152464
ORB,SIFT,7,129,95,5.670843,27.857941
ORB,SIFT,8,127,94,5.691568,27.966261
ORB,SIFT,9,128,94,5.716438,26.729105
AKAZE,SIFT,0,166,0,41.937059,16.278808
AKAZE,SIFT,1,157,134,39.994536,14.948103
AKAZE,SIFT,2,161,134,39.052040,15.023396
AKAZE,SIFT,3,155,130,40.090865,14.933366
AKAZE,SIFT,4,163,136,38.168393,14.938633
AKAZE,SIFT,5,164,137,40.607802,15.018557
AKAZE,SIFT,6,173,147,41.036692,15.162594
AKAZE,SIFT,7,175,147,42.112449,15.394473
AKAZE,SIFT,8,177,154,43.013461,15.168283
AKAZE,SIFT,9,179,151,41.851701,15.138968
SIFT,SIFT,0,138,0,82.780585,66.836215
SIFT,SIFT,1,132,82,79.509465,50.744707
SIFT,SIFT,2,124,81,63.898082,53.012412
SIFT,SIFT,3,137,85,79.394866,51.957100
SIFT,SIFT,4,134,93,77.459464,53.184278
SIFT,SIFT,5,140,90,64.733940,51.206243
SIFT,SIFT,6,137,81,77.559365,51.434495
SIFT,SIFT,7,148,82,80.785874,64.090080
SIFT,SIFT,8,159,102,66.023862,51.533390
SIFT,SIFT,9,137,104,79.454372,51.726082
